Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
43,Riley Greene*,23,DET,AL,5.5,135,576,505,82,134,27,6,24,74,4,2,63,155,.265,.351,.485,.836,136,.362,135,245,2,5,0,2,3,7D8/9H,AS,greenri03
44,Jackson Merrill*,21,SDP,NL,4.4,155,590,552,77,161,31,6,24,90,16,3,28,101,.292,.324,.500,.824,126,.356,125,276,2,1,4,5,1,*8/H,AS,merrija01
45,Jurickson Profar#,31,SDP,NL,3.6,157,663,560,93,157,29,0,24,85,10,3,75,100,.280,.380,.461,.841,134,.370,137,258,14,18,5,5,4,*7/D3,AS,profaju01
46,Bryan Reynolds#,29,PIT,NL,3.7,154,683,615,72,170,29,3,24,88,10,2,56,155,.276,.344,.450,.794,119,.356,125,277,6,9,0,3,3,*79D,AS,reynobr01
47,Paul DeJong,30,2TM,AL,1.0,138,479,442,54,101,17,0,24,56,2,2,23,154,.229,.278,.430,.708,99,.306,97,190,9,9,0,5,0,65H/D,,dejonpa01
48,Paul DeJong,30,CHW,AL,0.2,102,363,337,39,77,14,0,18,41,2,1,14,112,.228,.275,.430,.706,99,.303,95,145,8,9,0,3,0,65/HD,,dejonpa01
49,Paul DeJong,30,KCR,AL,0.7,36,116,105,15,24,3,0,6,15,0,1,9,42,.229,.284,.429,.713,97,.316,103,45,1,0,0,2,0,5/HD6,,dejonpa01
50,Nick Castellanos,32,PHI,NL,0.6,160,654,602,79,153,30,3,23,86,6,2,40,137,.254,.310,.429,.739,105,.326,107,258,14,10,0,2,2,*9/D,,casteni01
51,William Contreras,26,MIL,NL,4.8,154,675,592,98,167,37,2,23,92,9,2,77,137,.282,.366,.468,.834,130,.362,129,277,19,3,0,3,5,*2D/H,AS,contrwi02
52,Brenton Doyle,26,COL,NL,4.0,149,603,542,82,141,24,4,23,72,30,5,46,153,.260,.317,.446,.764,104,.338,102,242,13,3,4,8,1,*8/DH,,doylebr02
53,Zach Neto,23,LAA,AL,5.2,155,602,542,70,135,34,1,23,77,30,10,39,140,.249,.318,.443,.761,113,.334,112,240,14,16,4,1,1,*6/H,,netoza01
54,Joc Pederson*,32,ARI,NL,2.9,131,446,365,62,101,17,1,23,64,6,4,55,104,.277,.395,.518,.912,152,.389,152,189,5,18,1,3,2,*DH,,pederjo01
55,Marcus Semien,33,TEX,AL,4.0,157,708,643,99,152,26,2,23,74,8,3,61,105,.236,.305,.390,.695,98,.308,98,251,9,3,0,1,2,*4,AS,semiema01
56,Kyle Tucker*,27,HOU,AL,4.7,77,334,272,55,78,13,0,23,49,11,0,56,54,.287,.408,.588,.996,182,.427,180,160,5,1,0,2,3,9/DH,AS,tuckeky01
57,Jazz Chisholm Jr.*,26,2TM,2LG,2.4,146,617,558,73,142,20,4,23,71,40,10,53,150,.254,.323,.428,.751,105,.335,104,239,6,4,0,2,5,85/D4H,,chishja01
58,Jazz Chisholm Jr.*,26,MIA,NL,1.1,101,430,386,46,96,14,4,13,50,22,8,39,107,.249,.323,.407,.730,97,.323,96,157,4,4,0,1,5,8/D4H,,chishja01
59,Jazz Chisholm Jr.*,26,NYY,AL,1.3,45,187,172,27,46,6,0,10,21,18,2,14,43,.267,.321,.477,.798,123,.363,122,82,2,0,0,1,0,5/8,,chishja01
60,Lawrence Butler*,23,OAK,AL,3.1,124,446,407,63,108,24,2,22,57,18,0,35,105,.265,.321,.496,.817,134,.360,133,202,8,0,0,4,0,*9H/8,,butlela01
61,Corbin Carroll*,23,ARI,NL,3.5,156,675,581,120,135,21,14,22,74,33,8,72,129,.232,.323,.430,.753,108,.333,107,250,3,10,3,9,0,*89/H,,carroco02
62,Freddie Freeman*,34,LAD,NL,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,.282,.378,.476,.854,143,.369,142,258,13,10,0,8,9,*3,AS,freemfr01
63,Paul Goldschmidt,36,STL,NL,1.2,152,647,593,69,143,30,1,22,62,11,0,47,171,.241,.299,.406,.705,95,.324,102,241,20,2,0,1,2,*3/DH,,goldspa01
64,Brandon Nimmo*,31,NYM,NL,2.5,147,646,554,87,125,25,3,22,87,14,0,77,151,.226,.331,.401,.732,109,.333,113,222,6,12,0,3,1,*78/DH,,nimmobr01
65,Heliot Ramos,24,SFG,NL,2.3,120,514,471,53,127,23,3,22,72,6,1,37,135,.270,.323,.471,.794,126,.350,130,222,12,2,0,4,2,*87/D9H,AS,ramoshe02
66,Carlos Santana#,38,MIN,AL,2.1,148,586,516,61,121,26,0,22,70,4,0,62,99,.234,.323,.413,.735,105,.324,104,213,11,6,0,2,3,*3/HD,,santaca01
67,Alec Burleson*,25,STL,NL,1.0,150,585,539,70,143,20,0,21,75,9,3,33,75,.265,.309,.419,.729,102,.322,103,226,8,4,1,6,0,D97H3,,burleal01
