playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
Yandy Díaz,2024,TBR,AL,142,552,53,157,31,1,14,65,0,0,48,92,0,4,0,4,12
Tyler Fitzgerald,2024,SFG,NL,90,292,51,84,17,2,14,31,17,4,19,98,0,4,0,1,2
David Fry,2024,CLE,AL,121,334,44,87,17,1,14,50,4,1,42,84,4,9,0,4,13
Mickey Moniak*,2024,LAA,AL,122,385,48,85,17,2,14,49,7,4,20,112,0,4,0,1,3
Luis Robert Jr.,2024,CHW,AL,96,376,45,84,17,0,14,35,22,6,26,134,2,2,0,1,8
Masyn Winn,2024,STL,NL,145,562,77,149,28,4,14,51,11,5,40,104,1,1,3,5,1
Jesse Winker*,2024,2TM,NL,143,424,63,109,23,0,14,58,14,4,63,105,2,9,2,3,11
Jesse Winker*,2024,WSN,NL,101,315,51,81,18,0,11,45,14,4,53,84,2,7,2,2,9
Jesse Winker*,2024,NYM,NL,42,109,12,28,5,0,3,13,0,0,10,21,0,2,0,1,2
Lane Thomas,2024,2TM,2LG,126,457,63,110,26,3,14,60,32,14,44,134,1,7,0,5,5
Lane Thomas,2024,WSN,NL,77,300,42,76,16,3,8,40,28,12,32,72,0,5,0,4,4
Lane Thomas,2024,CLE,AL,49,157,21,34,10,0,6,20,4,2,12,62,1,2,0,1,1
Joey Bart,2024,PIT,NL,76,237,36,62,9,0,13,44,0,0,22,68,0,6,0,1,8
Carlos Correa,2024,MIN,AL,82,303,52,93,18,2,13,52,0,0,36,56,2,3,0,4,5
Brendan Donovan*,2024,STL,NL,147,564,63,155,33,3,13,68,5,5,45,77,0,13,0,4,4
TJ Friedl*,2024,CIN,NL,80,280,34,63,5,1,13,55,9,1,23,51,0,12,2,4,1
Mitch Garver,2024,SEA,AL,110,355,35,60,17,0,13,49,0,0,53,131,0,7,0,3,8
Hunter Goodman,2024,COL,NL,68,205,24,39,9,0,13,36,1,1,8,62,0,3,0,2,5
Colt Keith*,2024,DET,AL,142,501,53,131,15,3,13,59,7,1,35,107,1,2,0,2,4
Steven Kwan*,2024,CLE,AL,120,475,81,138,16,3,13,43,12,5,51,50,0,4,2,0,5
Wyatt Langford,2024,TEX,AL,128,475,67,120,25,4,13,69,16,3,47,110,3,4,0,3,6
Nathaniel Lowe*,2024,TEX,AL,134,463,56,121,14,1,13,61,2,0,68,120,0,4,0,4,9
Michael Massey*,2024,KCR,AL,94,317,43,80,15,2,13,41,1,0,13,52,1,3,2,4,9
Jake Meyers,2024,HOU,AL,144,447,50,99,20,3,13,61,11,3,34,114,0,10,3,4,16
Ryan Mountcastle,2024,BAL,AL,118,452,53,120,29,2,13,61,3,0,27,106,0,1,0,5,13
Bo Naylor*,2024,CLE,AL,119,341,39,69,10,2,13,39,6,2,28,116,1,2,2,2,3
Jhonkensy Noel,2024,CLE,AL,63,171,25,38,7,1,13,28,0,0,13,60,0,5,0,1,1
Ryan O'Hearn*,2024,BAL,AL,136,423,56,109,20,3,13,54,3,1,45,65,2,2,0,3,7
J.T. Realmuto,2024,PHI,NL,95,367,48,97,18,1,13,44,2,2,25,97,1,5,0,1,7
Hunter Renfroe,2024,KCR,AL,115,371,42,85,18,0,13,50,1,1,36,80,0,2,0,1,9
Brendan Rodgers,2024,COL,NL,134,498,65,133,28,1,13,54,1,0,30,130,1,4,1,2,12
Keibert Ruiz#,2024,WSN,NL,123,442,45,99,21,0,13,53,3,1,16,53,0,5,0,5,13
Nolan Schanuel*,2024,LAA,AL,145,514,62,130,19,0,13,54,10,1,68,100,0,9,3,7,14
Davis Schneider,2024,TOR,AL,130,386,46,76,19,1,13,46,6,0,44,139,0,5,0,5,2
Jon Singleton*,2024,HOU,AL,115,344,45,82,12,1,13,41,0,0,42,108,0,0,0,3,2
Josh Smith*,2024,TEX,AL,144,501,65,131,27,1,13,60,10,2,45,115,1,17,2,3,6
Rowdy Tellez*,2024,PIT,NL,131,383,38,93,18,0,13,56,1,0,31,89,0,2,0,5,12
Matt Wallner*,2024,MIN,AL,74,219,26,57,17,1,13,37,3,0,24,94,0,16,0,1,2
Austin Wells*,2024,NYY,AL,110,339,39,81,18,1,13,54,1,2,43,86,0,4,1,7,7
Connor Wong,2024,BOS,AL,121,432,53,123,23,1,13,50,7,7,26,111,1,9,1,2,7
Ty France,2024,2TM,2LG,135,463,46,112,24,0,13,51,1,1,37,111,0,13,0,5,15
Ty France,2024,SEA,AL,88,300,28,67,14,0,8,31,0,1,28,83,0,11,0,1,11
Ty France,2024,CIN,NL,47,163,18,45,10,0,5,20,1,0,9,28,0,2,0,4,4
Harrison Bader,2024,NYM,NL,138,394,57,95,19,0,12,50,17,8,21,91,1,8,0,5,6
Triston Casas*,2024,BOS,AL,57,191,26,46,7,0,12,29,0,1,25,72,3,1,0,0,6
Willi Castro#,2024,MIN,AL,153,539,87,134,30,5,12,59,14,9,51,148,0,21,1,3,8
Mitch Haniger,2024,SEA,AL,118,373,42,78,12,0,12,44,0,0,38,122,0,2,0,1,10
Jonah Heim#,2024,TEX,AL,126,441,42,96,12,0,12,55,1,1,25,85,0,3,0,2,13
Spencer Horwitz*,2024,TOR,AL,92,309,46,84,19,0,12,37,0,0,39,67,2,7,0,4,6
Jeff McNeil*,2024,NYM,NL,129,424,57,101,26,0,12,44,5,1,35,68,1,9,1,3,6
Leody Taveras#,2024,TEX,AL,146,463,58,107,17,3,12,44,21,6,40,105,0,0,3,4,7
Alex Verdugo*,2024,NYY,AL,145,546,72,127,28,1,12,58,1,1,49,91,0,1,2,10,13
Anthony Volpe,2024,NYY,AL,154,620,90,154,27,7,12,59,27,5,39,150,1,4,2,3,9
Francisco Alvarez,2024,NYM,NL,95,296,36,70,13,2,11,44,1,1,28,83,0,2,0,1,7
Jake Bauers*,2024,MIL,NL,111,292,43,57,9,2,11,42,12,1,38,115,1,5,0,0,0
Charlie Blackmon*,2024,COL,NL,118,430,54,107,23,4,11,48,6,2,40,83,2,5,0,0,4
Xander Bogaerts,2024,SDP,NL,106,410,48,106,14,1,11,41,13,2,27,75,0,1,0,5,12
Ernie Clement,2024,TOR,AL,133,412,47,109,21,3,11,49,12,3,10,39,1,3,2,2,9
Adam Duvall,2024,ATL,NL,104,303,29,55,10,0,11,30,0,0,21,99,0,5,0,1,6
Randal Grichuk,2024,ARI,NL,102,247,37,71,19,2,11,44,0,0,19,46,0,3,0,2,5
Kiké Hernández,2024,LAD,NL,120,343,39,75,16,0,11,38,0,0,26,77,0,0,1,3,12
Ha-Seong Kim,2024,SDP,NL,121,403,60,94,16,3,11,47,22,5,58,77,4,2,4,3,8
Korey Lee,2024,CHW,AL,121,367,35,76,14,1,11,33,5,3,15,121,0,0,0,0,12
Joey Ortiz,2024,MIL,NL,136,420,57,100,24,5,11,53,9,6,55,96,0,6,2,6,9
Andy Pages,2024,LAD,NL,111,390,60,98,23,1,11,43,1,2,27,103,0,6,0,4,8
Rob Refsnyder,2024,BOS,AL,93,272,32,77,16,1,11,40,2,2,28,78,2,5,0,1,6
