playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
Derek Hill,2024,SFG,NL,5,12,3,3,0,1,0,2,0,0,1,3,0,0,0,0,0
Derek Hill,2024,MIA,NL,29,96,10,23,4,1,4,18,4,1,1,34,0,1,2,1,1
Jonathan Aranda*,2024,TBR,AL,38,109,20,27,6,0,6,13,0,0,10,28,0,1,0,1,2
Javier Báez,2024,DET,AL,80,272,25,50,12,0,6,37,8,1,12,69,1,2,0,3,10
Jonny DeLuca,2024,TBR,AL,103,318,29,68,12,4,6,31,16,6,23,77,1,4,2,0,1
Tommy Edman#,2024,LAD,NL,31,117,18,31,4,1,6,19,6,0,8,23,0,0,0,1,1
Freddy Fermin,2024,KCR,AL,106,324,39,90,14,0,6,36,2,0,23,63,1,2,1,3,10
Romy González,2024,BOS,AL,85,187,24,51,10,1,6,29,11,3,12,54,0,1,0,4,5
Otto López,2024,MIA,NL,112,383,44,101,21,1,6,37,19,3,23,73,0,1,2,2,12
Pedro Pagés,2024,STL,NL,64,187,17,43,2,2,6,23,2,0,11,51,0,0,1,2,7
Blake Perkins#,2024,MIL,NL,115,368,51,90,12,2,6,42,22,5,39,105,1,3,0,6,3
Luis Rengifo#,2024,LAA,AL,78,283,41,85,13,1,6,30,24,7,16,44,0,4,1,0,6
Miguel Rojas,2024,LAD,NL,101,303,41,87,21,0,6,36,8,2,22,34,0,2,2,2,7
Dominic Smith*,2024,2TM,2LG,93,275,33,64,22,0,6,34,1,1,28,76,0,4,0,0,7
Dominic Smith*,2024,BOS,AL,84,249,29,59,20,0,6,34,1,1,25,65,0,4,0,0,7
Dominic Smith*,2024,CIN,NL,9,26,4,5,2,0,0,0,0,0,3,11,0,0,0,0,0
Lenyn Sosa,2024,CHW,AL,94,331,21,81,11,0,6,29,3,1,10,74,1,3,2,1,5
Abraham Toro#,2024,OAK,AL,94,337,34,81,17,1,6,26,4,2,20,62,1,5,2,0,4
Enmanuel Valdéz*,2024,BOS,AL,73,196,23,43,12,0,6,28,1,1,17,52,0,0,1,4,4
Juan Yepez,2024,WSN,NL,57,206,28,57,15,0,6,23,2,1,17,36,0,1,0,3,8
Elias Díaz,2024,2TM,NL,94,320,27,85,19,0,6,38,0,0,20,68,2,4,0,2,14
Elias Díaz,2024,COL,NL,84,304,26,82,18,0,5,36,0,0,17,64,2,4,0,2,13
Elias Díaz,2024,SDP,NL,10,16,1,3,1,0,1,2,0,0,3,4,0,0,0,0,1
Eloy Jiménez,2024,2TM,AL,98,324,25,77,14,0,6,23,3,0,22,70,1,2,0,1,13
Eloy Jiménez,2024,CHW,AL,65,229,18,55,9,0,5,16,3,0,18,47,1,1,0,1,11
Eloy Jiménez,2024,BAL,AL,33,95,7,22,5,0,1,7,0,0,4,23,0,1,0,0,2
Willie Calhoun*,2024,LAA,AL,68,229,26,56,16,0,5,20,0,1,23,31,1,1,0,1,5
Daz Cameron,2024,OAK,AL,62,164,21,33,5,0,5,15,5,0,13,50,0,1,0,2,3
Evan Carter*,2024,TEX,AL,45,144,23,27,6,2,5,15,2,0,15,43,0,2,0,1,1
Kyle Farmer,2024,MIN,AL,101,201,26,46,13,1,5,25,3,5,18,46,1,6,0,2,5
Jake Fraley*,2024,CIN,NL,111,333,43,92,17,2,5,26,20,5,26,70,0,3,0,3,5
Nick Gonzales,2024,PIT,NL,89,342,38,92,18,3,5,47,5,3,16,70,1,4,1,4,7
Eric Haase,2024,MIL,NL,28,59,9,17,0,0,5,13,0,0,3,24,0,0,0,0,0
Rece Hinds,2024,CIN,NL,23,46,9,12,4,1,5,11,2,0,4,16,0,1,0,0,0
Nico Hoerner,2024,CHC,NL,145,557,81,150,32,1,5,43,30,5,44,65,1,12,0,3,8
Jackson Holliday*,2024,BAL,AL,56,183,26,31,3,2,5,23,4,0,12,68,0,2,0,1,1
Andy Ibáñez,2024,DET,AL,94,215,29,53,8,1,5,32,2,3,14,62,0,3,0,2,2
Alex Kirilloff*,2024,MIN,AL,57,159,20,32,8,3,5,20,0,0,15,47,0,1,0,3,5
Alejandro Kirk,2024,TOR,AL,98,320,22,79,17,1,5,50,0,0,33,51,1,2,0,9,10
Nick Martini*,2024,CIN,NL,52,146,23,31,4,2,5,24,1,3,9,38,0,4,0,3,1
Jorge Mateo,2024,BAL,AL,68,192,30,44,14,2,5,18,13,2,10,48,0,1,2,3,3
Luis Matos,2024,SFG,NL,44,148,14,32,5,0,5,25,0,0,5,24,1,0,0,1,5
Kyle McCann*,2024,OAK,AL,52,134,13,32,4,0,5,15,0,0,15,56,1,1,0,0,2
Chas McCormick,2024,HOU,AL,94,242,32,51,6,1,5,27,8,2,17,72,0,4,1,3,3
Grant McCray*,2024,SFG,NL,32,104,12,22,3,2,5,10,5,0,6,44,0,0,0,0,3
Gabriel Moreno,2024,ARI,NL,92,290,38,78,17,1,5,42,3,1,38,48,1,2,0,3,10
Edward Olivares,2024,PIT,NL,55,174,22,39,4,0,5,23,1,0,16,37,0,2,0,4,3
Richie Palacios*,2024,TBR,AL,88,253,46,59,8,1,5,21,19,1,42,66,2,4,0,1,4
Casey Schmitt,2024,SFG,NL,35,97,9,23,2,1,5,13,0,0,2,22,0,1,0,1,1
Daniel Schneemann*,2024,CLE,AL,72,191,17,42,10,2,5,22,3,2,24,70,0,0,0,3,1
DJ Stewart*,2024,NYM,NL,74,158,16,28,4,0,5,19,1,0,31,48,0,4,0,1,5
Michael A. Taylor,2024,PIT,NL,113,269,35,52,9,1,5,21,12,1,23,105,0,0,4,4,3
Jordan Walker,2024,STL,NL,45,139,13,26,7,1,5,18,1,0,10,44,0,2,0,2,3
Christian Bethancourt,2024,2TM,NL,60,131,18,28,7,0,5,22,3,0,5,34,0,1,2,0,2
Christian Bethancourt,2024,MIA,NL,38,82,9,13,3,0,2,7,0,0,3,22,0,1,2,0,1
Christian Bethancourt,2024,CHC,NL,22,49,9,15,4,0,3,15,3,0,2,12,0,0,0,0,1
Kevin Kiermaier*,2024,2TM,2LG,112,255,30,48,8,3,5,24,6,2,12,86,0,2,7,1,4
Kevin Kiermaier*,2024,TOR,AL,82,200,24,39,7,2,4,18,5,0,10,66,0,1,5,1,3
Kevin Kiermaier*,2024,LAD,NL,30,55,6,9,1,1,1,6,1,2,2,20,0,1,2,0,1
Cavan Biggio*,2024,3TM,2LG,78,188,27,37,5,0,5,19,2,0,24,72,0,8,2,0,1
Cavan Biggio*,2024,2TM,NL,34,78,12,15,1,0,3,10,0,0,10,30,0,2,2,0,0
Cavan Biggio*,2024,TOR,AL,44,110,15,22,4,0,2,9,2,0,14,42,0,6,0,0,1
Cavan Biggio*,2024,LAD,NL,30,73,11,14,1,0,3,10,0,0,10,28,0,2,2,0,0
Cavan Biggio*,2024,ATL,NL,4,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Miguel Vargas,2024,2TM,2LG,66,186,19,31,7,0,5,16,3,1,23,54,0,2,0,3,4
Miguel Vargas,2024,LAD,NL,30,71,11,17,4,0,3,9,1,0,8,16,0,0,0,1,1
Miguel Vargas,2024,CHW,AL,36,115,8,14,3,0,2,7,2,1,15,38,0,2,0,2,3
Ronald Acuña Jr.,2024,ATL,NL,49,192,38,48,8,1,4,15,16,3,27,53,0,3,0,0,4
Miguel Andujar,2024,OAK,AL,75,302,31,86,14,1,4,30,3,2,13,42,0,3,0,1,10
Luis Arráez*,2024,2TM,NL,145,617,81,196,29,2,4,44,9,3,24,28,3,8,2,1,18
Luis Arráez*,2024,MIA,NL,33,137,22,41,8,1,0,5,0,0,8,11,0,2,1,0,5
Luis Arráez*,2024,SDP,NL,112,480,59,155,21,1,4,39,9,3,16,17,3,6,1,1,13
Brett Baty*,2024,NYM,NL,50,153,15,35,3,0,4,16,0,0,16,42,1,1,1,0,3
Bo Bichette,2024,TOR,AL,81,311,29,70,16,1,4,31,5,1,20,64,1,3,0,2,12
Dairon Blanco,2024,KCR,AL,84,117,36,31,4,0,4,13,29,6,8,32,0,1,1,1,1
Junior Caminero,2024,TBR,AL,37,141,12,35,9,1,4,14,2,0,11,35,2,1,0,0,2
Matt Carpenter*,2024,STL,NL,55,129,15,30,6,0,4,15,0,2,15,47,0,2,0,2,0
Andrés Chaparro,2024,WSN,NL,33,121,12,26,12,0,4,15,1,1,7,24,0,4,0,0,3
Kody Clemens*,2024,PHI,NL,38,105,15,23,9,1,4,17,0,0,4,26,0,0,0,0,2
J.D. Davis,2024,2TM,AL,46,142,13,31,5,0,4,6,0,0,12,39,0,3,0,0,5
J.D. Davis,2024,OAK,AL,39,123,12,29,4,0,4,5,0,0,9,30,0,3,0,0,3
J.D. Davis,2024,NYY,AL,7,19,1,2,1,0,0,1,0,0,3,9,0,0,0,0,2
Adrian Del Castillo*,2024,ARI,NL,25,80,12,25,5,0,4,19,1,1,7,28,0,0,0,0,1
Brandon Drury,2024,LAA,AL,92,305,27,51,7,0,4,15,1,0,26,74,0,5,0,3,13
Mauricio Dubón,2024,HOU,AL,133,388,45,104,23,0,4,47,3,2,15,54,0,2,3,5,6
Jerar Encarnación,2024,SFG,NL,30,96,11,25,4,0,4,16,1,0,5,29,0,0,0,1,0
Wilmer Flores,2024,SFG,NL,71,214,19,44,12,0,4,26,0,0,20,33,1,3,0,5,5
Nick Fortes,2024,MIA,NL,106,292,26,66,15,0,4,28,0,1,10,40,0,4,7,5,6
Adam Frazier*,2024,KCR,AL,102,257,34,52,10,1,4,20,2,0,22,57,0,7,3,0,0
Ke'Bryan Hayes,2024,PIT,NL,96,365,38,85,9,0,4,25,11,2,23,75,1,4,0,4,12
Iván Herrera,2024,STL,NL,68,215,34,63,11,1,4,26,5,0,22,50,0,2,0,2,3
Jose Iglesias,2024,NYM,NL,79,246,38,83,16,1,4,25,5,2,11,35,1,7,0,1,4
Leo Jiménez,2024,TOR,AL,59,168,16,37,10,0,4,18,0,0,12,58,0,16,0,3,5
Martín Maldonado,2024,CHW,AL,48,135,9,16,3,0,4,11,0,0,8,51,0,1,3,0,5
Kyle Manzardo*,2024,CLE,AL,49,130,9,32,12,0,4,14,0,0,8,36,0,1,0,1,2
Manuel Margot,2024,MIN,AL,124,301,36,72,16,1,4,31,5,0,21,51,0,3,1,3,10
Noelvi Marté,2024,CIN,NL,62,216,24,46,9,0,4,18,9,2,9,73,0,3,0,1,0
Zach McKinstry*,2024,DET,AL,113,288,31,63,14,5,4,23,16,0,24,69,0,2,0,2,3
Elehuris Montero,2024,COL,NL,67,224,23,46,10,0,4,28,0,0,20,56,0,0,0,3,7
James Outman*,2024,LAD,NL,52,135,12,20,4,0,4,11,2,1,15,54,0,4,0,0,0
Víctor Robles,2024,2TM,2LG,86,232,38,72,16,0,4,25,32,2,19,50,0,11,6,3,2
Víctor Robles,2024,WSN,NL,14,25,3,3,0,0,0,2,4,1,5,9,0,1,1,1,0
Víctor Robles,2024,SEA,AL,72,207,35,69,16,0,4,23,28,1,14,41,0,10,5,2,2
Trey Sweeney*,2024,DET,AL,31,93,9,23,5,0,4,17,2,0,5,27,0,1,0,1,2
Luis Urías,2024,SEA,AL,38,90,11,16,6,0,4,16,0,0,8,34,0,6,0,0,2
Whit Merrifield,2024,2TM,NL,94,293,43,65,9,3,4,15,16,3,35,52,0,3,4,0,7
Whit Merrifield,2024,PHI,NL,53,156,21,31,4,1,3,11,11,1,15,19,0,2,1,0,2
Whit Merrifield,2024,ATL,NL,41,137,22,34,5,2,1,4,5,2,20,33,0,1,3,0,5
Tomás Nido,2024,2TM,NL,49,130,14,25,4,0,4,12,0,0,5,35,0,0,3,2,1
Tomás Nido,2024,NYM,NL,32,83,9,19,2,0,3,8,0,0,4,20,0,0,2,1,0
Tomás Nido,2024,CHC,NL,17,47,5,6,2,0,1,4,0,0,1,15,0,0,1,1,1
Joey Loperfido*,2024,2TM,AL,76,230,22,51,13,4,4,24,3,2,12,88,0,4,1,1,3
Joey Loperfido*,2024,HOU,AL,38,106,11,25,5,1,2,16,2,1,7,43,0,3,1,1,1
Joey Loperfido*,2024,TOR,AL,38,124,11,26,8,3,2,8,1,1,5,45,0,1,0,0,2
Austin Hays,2024,2TM,2LG,82,224,25,57,18,0,4,19,2,1,9,56,1,8,1,2,2
Austin Hays,2024,BAL,AL,63,157,18,40,13,0,3,14,0,1,9,40,1,6,1,2,1
Austin Hays,2024,PHI,NL,19,67,7,17,5,0,1,5,2,0,0,16,0,2,0,0,1
Luisangel Acuña,2024,NYM,NL,9,29,6,11,2,1,3,6,0,1,1,4,0,0,0,0,1
Blaze Alexander,2024,ARI,NL,61,166,19,41,7,0,3,21,3,1,15,49,0,3,1,0,1
Gabriel Arias,2024,CLE,AL,53,153,15,34,9,1,3,15,5,2,6,53,0,1,0,1,4
Jordan Beck,2024,COL,NL,51,163,14,32,6,0,3,13,7,1,12,62,1,1,0,1,1
Alex Call,2024,WSN,NL,30,99,15,34,9,0,3,14,5,1,12,19,0,2,0,0,2
Dylan Carlson#,2024,2TM,2LG,93,226,19,45,7,0,3,24,2,1,22,71,0,5,0,3,2
Dylan Carlson#,2024,STL,NL,59,121,12,24,5,0,0,11,0,1,12,37,0,2,0,3,2
Dylan Carlson#,2024,TBR,AL,34,105,7,21,2,0,3,13,2,0,10,34,0,3,0,0,0
Dylan Crews,2024,WSN,NL,25,98,8,20,4,0,3,8,9,2,8,22,0,0,0,1,3
David Dahl*,2024,PHI,NL,19,58,6,12,2,0,3,8,0,0,3,21,0,0,0,1,0
Ezequiel Durán,2024,TEX,AL,89,257,25,65,11,0,3,20,1,2,13,59,0,2,0,1,6
Estevan Florial*,2024,CLE,AL,36,98,11,17,6,2,3,11,2,1,11,41,0,1,1,0,2
Robbie Grossman#,2024,3TM,AL,84,198,21,43,8,0,3,14,3,0,34,52,0,1,0,2,8
Robbie Grossman#,2024,CHW,AL,25,71,6,15,4,0,0,4,2,0,13,20,0,0,0,1,2
Robbie Grossman#,2024,TEX,AL,46,105,13,25,4,0,3,10,1,0,16,25,0,0,0,1,5
Robbie Grossman#,2024,KCR,AL,13,22,2,3,0,0,0,0,0,0,5,7,0,1,0,0,1
Brett Harris,2024,OAK,AL,36,103,15,15,3,0,3,12,0,3,17,25,0,2,0,1,3
Alex Jackson,2024,TBR,AL,58,139,17,17,7,0,3,12,1,0,12,53,0,2,1,1,2
Nolan Jones*,2024,COL,NL,74,239,28,50,11,1,3,25,5,4,35,88,2,1,1,3,6
Corey Julks,2024,CHW,AL,66,173,17,37,7,0,3,14,5,2,15,50,0,0,0,1,6
Niko Kavadas*,2024,LAA,AL,25,80,8,14,1,0,3,6,1,0,8,36,0,2,0,0,0
Heston Kjerstad*,2024,BAL,AL,35,88,7,23,2,0,3,12,1,0,10,29,2,5,0,0,0
Brooks Lee#,2024,MIN,AL,44,155,9,33,4,1,3,25,3,0,9,25,1,0,0,2,6
Rafael Marchán#,2024,PHI,NL,17,51,8,15,4,0,3,6,0,0,3,8,0,1,1,0,1
Ángel Martínez#,2024,CLE,AL,40,146,15,35,7,0,3,10,3,1,15,31,0,0,1,2,2
Reese McGuire*,2024,BOS,AL,53,139,10,29,3,0,3,18,3,0,13,39,0,2,1,3,4
Danny Mendick,2024,CHW,AL,47,132,13,26,7,0,3,8,6,0,6,35,0,2,1,0,3
Joey Meneses,2024,WSN,NL,76,281,19,65,11,0,3,42,2,0,21,63,1,5,0,6,9
Kevin Newman,2024,ARI,NL,108,284,41,80,17,1,3,28,8,1,15,47,1,0,6,2,7
Geraldo Perdomo#,2024,ARI,NL,92,318,59,87,20,2,3,35,8,1,33,54,0,3,6,5,5
Johan Rojas,2024,PHI,NL,118,333,46,80,12,3,3,32,25,4,13,67,0,4,6,0,7
Ben Rortvedt*,2024,TBR,AL,107,281,26,63,13,0,3,31,1,0,34,85,0,3,0,0,6
Eguy Rosario,2024,SDP,NL,30,53,5,13,6,0,3,6,0,0,2,20,0,1,1,0,1
Chris Taylor,2024,LAD,NL,82,202,24,37,6,1,3,20,3,1,27,73,0,2,1,2,5
José Tena*,2024,2TM,2LG,39,142,14,43,5,0,3,15,6,1,6,33,0,0,0,0,0
José Tena*,2024,CLE,AL,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
José Tena*,2024,WSN,NL,36,138,14,43,5,0,3,15,6,1,6,31,0,0,0,0,0
Alek Thomas*,2024,ARI,NL,37,94,12,18,5,1,3,17,4,1,7,17,0,0,1,0,7
Luis Torrens,2024,NYM,NL,43,112,14,27,8,0,3,15,0,1,9,27,0,2,0,1,5
Weston Wilson,2024,PHI,NL,37,81,13,23,6,1,3,8,3,0,7,27,0,1,0,1,2
Brett Wisely*,2024,SFG,NL,85,238,23,54,13,1,3,27,2,3,12,63,0,2,2,3,2
Jacob Young,2024,WSN,NL,144,448,74,114,23,1,3,35,32,10,28,95,0,12,8,2,10
Emmanuel Rivera,2024,2TM,2LG,119,257,21,58,8,2,3,24,2,0,25,67,0,5,1,4,7
Emmanuel Rivera,2024,MIA,NL,96,201,15,43,6,1,1,15,2,0,20,51,0,4,1,3,5
Emmanuel Rivera,2024,BAL,AL,23,56,6,15,2,1,2,9,0,0,5,16,0,1,0,1,2
Amed Rosario,2024,3TM,2LG,102,331,29,93,18,3,3,32,13,5,9,73,0,4,0,1,10
Amed Rosario,2024,2TM,NL,26,67,7,12,1,0,1,6,4,1,2,25,0,1,0,0,1
Amed Rosario,2024,TBR,AL,76,264,22,81,17,3,2,26,9,4,7,48,0,3,0,1,9
Amed Rosario,2024,LAD,NL,5,11,1,3,1,0,0,2,1,1,1,2,0,0,0,0,0
Amed Rosario,2024,CIN,NL,21,56,6,9,0,0,1,4,3,0,1,23,0,1,0,0,1
Kyle Stowers*,2024,2TM,2LG,66,185,13,40,11,2,3,24,0,1,10,71,0,3,0,1,2
Kyle Stowers*,2024,BAL,AL,19,36,3,11,4,0,1,9,0,1,0,13,0,0,0,1,0
Kyle Stowers*,2024,MIA,NL,47,149,10,29,7,2,2,15,0,0,10,58,0,3,0,0,2
José Abreu,2024,HOU,AL,35,113,10,14,2,0,2,7,0,0,4,28,0,2,0,1,4
Riley Adams,2024,WSN,NL,41,116,10,26,5,1,2,8,1,0,10,35,1,2,0,2,4
Akil Baddoo*,2024,DET,AL,31,73,7,10,2,2,2,5,1,0,8,27,0,0,0,1,0
Luken Baker,2024,STL,NL,20,37,3,7,1,1,2,10,1,0,7,11,0,0,0,2,1
Brooks Baldwin#,2024,CHW,AL,33,114,9,24,6,0,2,8,4,0,6,31,0,0,1,0,1
Ryan Bliss,2024,SEA,AL,33,63,10,14,3,1,2,9,5,3,5,22,0,1,2,0,1
Vidal Bruján#,2024,MIA,NL,100,247,32,55,14,2,2,16,5,5,25,54,3,4,1,0,5
Kris Bryant,2024,COL,NL,37,133,9,29,5,0,2,15,0,0,13,48,0,8,0,1,6
Griffin Conine*,2024,MIA,NL,25,63,10,15,3,1,2,6,0,0,6,22,0,1,0,0,1
Billy Cook,2024,PIT,NL,11,35,3,8,1,0,2,6,1,0,0,15,0,0,0,0,0
Jasson Domínguez#,2024,NYY,AL,12,40,6,8,1,0,2,4,4,0,6,14,0,0,0,0,0
Christian Encarnacion-Strand,2024,CIN,NL,29,116,13,22,6,0,2,16,0,0,4,35,0,1,0,2,4
Sal Frelick*,2024,MIL,NL,141,464,64,120,20,4,2,30,17,3,39,77,0,4,1,0,7
Avisaíl García,2024,MIA,NL,18,50,4,12,1,0,2,2,0,0,1,13,0,0,0,0,4
Yan Gomes,2024,CHC,NL,34,91,7,14,2,0,2,7,0,0,2,36,0,1,1,1,2
Austin Hedges,2024,CLE,AL,66,132,12,20,3,0,2,15,2,0,6,50,0,3,3,2,2
Charles Leblanc,2024,LAA,AL,11,21,6,4,0,0,2,6,0,0,7,9,0,0,0,0,0
Jung Hoo Lee*,2024,SFG,NL,37,145,15,38,4,0,2,8,2,3,10,13,0,1,0,2,2
DJ LeMahieu,2024,NYY,AL,67,201,19,41,5,0,2,26,0,1,19,35,0,1,1,6,13
Tyler Locklear,2024,SEA,AL,16,45,3,7,1,0,2,3,1,0,3,20,0,1,0,0,3
Luke Maile,2024,CIN,NL,52,131,8,22,4,0,2,8,2,0,13,51,0,4,1,1,4
Ryan McKenna,2024,2TM,2LG,13,14,4,3,0,0,2,2,1,1,1,5,0,0,0,0,0
Ryan McKenna,2024,BAL,AL,9,8,3,3,0,0,2,2,0,1,1,1,0,0,0,0,0
Ryan McKenna,2024,SFG,NL,4,6,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Dane Myers,2024,MIA,NL,40,83,15,22,5,1,2,14,4,1,7,32,0,3,0,2,0
Joshua Palacios*,2024,PIT,NL,20,61,8,14,1,0,2,7,0,0,7,10,0,1,0,0,1
Graham Pauley*,2024,SDP,NL,13,32,4,4,0,0,2,5,0,0,0,15,0,0,0,0,1
René Pinto,2024,TBR,AL,19,42,5,9,3,0,2,6,0,0,4,18,0,1,1,1,0
Bryan Ramos,2024,CHW,AL,26,79,8,14,3,0,2,6,0,1,6,18,0,0,0,1,3
Esteury Ruiz,2024,OAK,AL,29,55,10,11,2,1,2,8,5,4,4,20,0,2,2,2,1
Miguel Sanó,2024,LAA,AL,28,83,9,17,3,0,2,6,0,0,9,36,0,2,0,1,2
Victor Scott II*,2024,STL,NL,50,140,12,23,9,0,2,9,5,0,6,42,0,2,0,2,0
Michael Siani*,2024,STL,NL,118,285,39,67,7,2,2,20,19,3,17,87,0,3,11,1,2
Trevor Story,2024,BOS,AL,21,77,7,20,4,0,2,9,5,2,6,25,2,1,0,0,1
Matt Thaiss*,2024,LAA,AL,53,145,13,30,8,0,2,16,3,0,24,55,0,0,0,1,2
Eric Wagaman,2024,LAA,AL,12,48,5,11,4,0,2,7,0,0,0,12,0,0,0,0,0
Will Wagner*,2024,TOR,AL,24,82,8,25,6,0,2,11,0,0,4,16,0,0,0,0,3
Jamie Westbrook,2024,BOS,AL,21,40,4,6,2,0,2,7,0,0,4,14,0,1,0,2,0
Nick Ahmed,2024,2TM,NL,69,203,19,47,6,1,2,17,2,1,11,49,0,1,3,3,6
Nick Ahmed,2024,SFG,NL,52,155,13,36,6,1,1,15,1,1,10,35,0,1,3,3,6
Nick Ahmed,2024,LAD,NL,17,48,6,11,0,0,1,2,1,0,1,14,0,0,0,0,0
Harold Ramírez,2024,2TM,2LG,73,238,28,62,7,1,2,29,6,2,5,50,0,2,0,1,2
Harold Ramírez,2024,TBR,AL,48,164,21,44,3,0,1,13,5,2,3,33,0,1,0,1,2
Harold Ramírez,2024,WSN,NL,25,74,7,18,4,1,1,16,1,0,2,17,0,1,0,0,0
Austin Slater,2024,3TM,2LG,81,171,22,35,4,0,2,18,3,2,25,58,0,5,0,4,5
Austin Slater,2024,2TM,NL,51,108,14,20,1,0,1,12,2,1,18,37,0,3,0,4,3
Austin Slater,2024,SFG,NL,43,90,12,18,1,0,1,9,2,1,16,31,0,3,0,3,3
Austin Slater,2024,CIN,NL,8,18,2,2,0,0,0,3,0,0,2,6,0,0,0,1,0
Austin Slater,2024,BAL,AL,30,63,8,15,3,0,1,6,1,1,7,21,0,2,0,0,2
Jordyn Adams,2024,LAA,AL,10,35,4,8,0,0,1,4,2,0,3,12,0,0,0,0,1
Ehire Adrianza#,2024,LAA,AL,8,26,4,5,1,0,1,2,0,0,2,11,0,0,0,0,1
Nick Allen,2024,OAK,AL,39,93,6,16,4,0,1,4,0,0,5,20,0,0,3,0,0
Austin Barnes,2024,LAD,NL,52,134,10,35,3,0,1,11,2,0,13,34,0,0,2,0,2
Jon Berti,2024,NYY,AL,23,60,9,17,0,0,1,6,5,1,4,14,0,1,1,0,1
Sean Bouchard,2024,COL,NL,31,91,14,17,7,0,1,8,4,0,12,33,0,2,1,2,0
Trey Cabbage*,2024,HOU,AL,45,86,12,18,8,0,1,8,1,1,4,34,0,1,0,0,1
Alexander Canario,2024,CHC,NL,15,25,4,7,1,0,1,2,1,0,2,11,0,1,0,0,0
Curt Casali,2024,SFG,NL,39,103,12,20,3,0,1,8,0,0,11,21,0,2,2,0,2
Garrett Cooper,2024,2TM,2LG,36,107,6,22,5,1,1,11,0,0,7,35,0,2,0,0,3
Garrett Cooper,2024,CHC,NL,12,37,3,10,1,1,1,6,0,0,4,13,0,0,0,0,1
Garrett Cooper,2024,BOS,AL,24,70,3,12,4,0,0,5,0,0,3,22,0,2,0,0,2
Brandon Crawford*,2024,STL,NL,28,71,5,12,5,0,1,4,0,0,8,26,0,1,0,0,0
Bobby Dalbec,2024,BOS,AL,37,83,6,11,2,0,1,8,3,0,8,43,0,1,1,0,1
Henry Davis,2024,PIT,NL,37,104,9,15,4,0,1,5,0,0,13,45,0,1,1,2,1
Zach Dezenzo,2024,HOU,AL,17,52,4,11,2,0,1,6,0,0,3,18,0,0,0,0,3
Dillon Dingler,2024,DET,AL,24,77,2,11,4,2,1,10,0,0,3,27,0,0,0,0,2
Logan Driscoll*,2024,TBR,AL,11,28,2,5,0,0,1,5,0,0,0,5,0,0,0,1,0
Blake Dunn,2024,CIN,NL,17,24,7,4,1,0,1,1,2,0,2,9,0,1,0,0,1
Oliver Dunn*,2024,MIL,NL,41,95,11,21,2,2,1,7,3,0,6,40,0,2,1,0,1
Xavier Edwards#,2024,MIA,NL,64,238,31,74,9,2,1,19,30,3,28,47,0,0,1,4,0
Dominic Fletcher*,2024,CHW,AL,67,205,13,42,8,0,1,15,0,0,10,55,1,3,2,0,5
Mike Ford*,2024,CIN,NL,17,60,2,9,0,1,1,4,0,0,2,15,0,0,0,0,1
Ben Gamel*,2024,2TM,2LG,38,81,22,20,4,0,1,4,1,0,18,24,1,0,0,0,0
Ben Gamel*,2024,NYM,NL,18,23,9,5,1,0,0,0,1,0,7,7,0,0,0,0,0
Ben Gamel*,2024,HOU,AL,20,58,13,15,3,0,1,4,0,0,11,17,1,0,0,0,0
David Hensley,2024,MIA,NL,23,52,9,11,1,0,1,4,1,0,6,17,0,0,0,0,0
Darell Hernaiz,2024,OAK,AL,44,109,8,21,2,0,1,9,1,1,11,24,0,1,1,2,4
José Herrera#,2024,ARI,NL,40,95,10,21,3,1,1,13,0,0,8,27,0,0,7,1,1
Aaron Hicks#,2024,LAA,AL,18,57,6,8,0,0,1,5,0,0,6,23,0,0,0,0,1
Travis Jankowski*,2024,TEX,AL,99,182,18,38,5,0,1,12,11,1,11,42,0,4,0,0,3
Jahmai Jones,2024,NYY,AL,33,42,8,10,1,1,1,4,1,1,2,16,0,2,1,0,0
Greg Jones#,2024,COL,NL,6,5,1,1,0,0,1,1,0,0,1,4,0,0,0,0,0
Buddy Kennedy,2024,2TM,2LG,13,20,3,4,1,0,1,6,1,0,4,6,0,0,0,1,0
Buddy Kennedy,2024,DET,AL,6,10,2,2,0,0,1,4,1,0,2,4,0,0,0,1,0
Buddy Kennedy,2024,PHI,NL,7,10,1,2,1,0,0,2,0,0,2,2,0,0,0,0,0
Andrew Knizner,2024,TEX,AL,35,90,5,15,1,0,1,9,0,0,1,22,0,1,0,1,2
Ryan Kreidler,2024,DET,AL,35,59,9,7,0,0,1,2,5,3,6,19,0,0,0,0,2
Trey Lipscomb,2024,WSN,NL,59,188,20,38,3,0,1,10,11,2,16,39,0,2,1,1,7
Nick Loftin,2024,KCR,AL,56,148,15,28,4,0,1,14,1,0,19,24,0,1,1,2,4
Nicky Lopez*,2024,CHW,AL,121,391,40,95,12,3,1,21,5,7,37,67,0,4,6,0,3
Bligh Madris*,2024,DET,AL,21,67,8,18,3,0,1,5,0,0,6,20,0,0,0,1,0
Austin Martin,2024,MIN,AL,89,218,41,55,16,1,1,16,7,3,20,43,0,2,2,0,4
Curtis Mead,2024,TBR,AL,38,122,10,29,3,0,1,7,2,0,6,30,0,2,0,1,2
